dep,hosp_rate_mean,hosp_rate_max,new_hosp_rate_mean,new_hosp_rate_max,rea_rate_mean,rea_rate_max,icu_pressure_mean,icu_pressure_max,cfr_mean,cfr_max,tx_pos_mean,tx_pos_max,tx_pos_7j_mean,couv_complet_max,couv_complet_lag14_mean,population,is_dom
81,19.153966387434554,52.3344,0.3867029350104822,7.2185,2.6347329842931937,8.7654,14.80993445026178,48.0,18.602569947643982,25.0,11.892057842046718,53.85,11.845083690873459,77.9,57.279276773296246,387890,0
82,17.11573497382199,43.9828,0.4742703354297694,7.2667,2.911100104712042,9.5615,23.19760010471204,100.0,17.25082062827225,100.0,11.508698553948832,61.7,11.512226097780603,76.0,55.03810848400556,261466,0
83,27.78318617801047,61.3347,0.3901932914046121,4.805,3.1495762303664923,8.3852,11.786996963350784,48.5714,16.855794764397906,19.9044,9.31122358175751,33.27,9.285322898458604,77.0,55.98664812239221,1061390,0
84,33.75651382198953,94.3927,0.5230664570230608,9.4393,1.9882086910994763,7.624,6.92974554973822,40.0,16.395809633507852,21.6625,10.577230255839822,43.33,10.544959929021664,75.6,54.37134909596662,550890,0
85,8.881013717277487,26.259,0.2180509433962264,2.6406,1.1525550785340315,3.6675,14.910469214659686,71.4286,14.296747064989518,29.6296,12.473503893214684,50.0,12.458492955135336,84.7,61.90431154381084,681671,0
86,15.274225863874346,44.985,0.40685670859538786,7.6859,1.5023870157068064,6.5556,12.000510598111228,50.0,17.543862526096035,100.0,11.799621802002225,54.0,11.856229858573018,78.8,57.66369958275382,442370,0
87,15.1903077486911,64.6672,0.3358553459119497,12.7738,1.891817068062827,8.5158,12.538574973821989,33.3333,20.04515654450262,60.0,12.599532293986636,100.0,12.603043937708566,81.2,59.76550764951322,375770,0
88,25.02836670157068,71.5271,0.4496393081761006,10.7607,1.7573360209424083,9.0728,6.850024816753926,33.3333,22.888739874739038,100.0,8.860444938820912,68.0,8.868446554372584,80.5,58.88678720445063,473946,0
89,36.913517172774874,73.9377,0.5956751572327044,10.4816,2.6130554973821987,7.6487,8.994379476439791,44.4444,20.281162370062372,100.0,11.263897550111357,58.33,11.24362023941946,79.2,57.5894297635605,353000,0
90,45.35512073298429,139.3775,1.1228457023060796,18.2591,5.321572356020942,27.9972,13.207021884816754,100.0,22.477978578892372,100.0,10.540627802690583,66.67,10.541254065363633,75.5,54.88636995827539,164302,0
91,33.58988408376963,94.975,0.4150440251572327,12.8845,4.6817567539267015,18.2852,14.685458115183245,38.0531,16.533673507853404,100.0,10.070255839822025,39.3,10.082158456486042,74.3,53.60458970792767,1296130,0
92,47.87521089005235,125.7685,0.43738008385744237,11.9306,6.317377382198953,28.3352,12.945163769633508,32.2148,15.825230052356021,25.9439,8.003325917686318,31.64,8.019012500662111,77.2,56.47635605006954,1609306,0
93,45.933701570680626,100.9173,0.40782714884696014,12.8765,4.482438115183246,15.4641,9.952373821989529,35.8696,16.504265968586388,40.4762,7.530511679644049,23.11,7.554107897664071,65.9,46.829346314325456,1623111,0
94,45.457408691099474,164.1298,0.5564498951781971,14.2659,4.949092879581152,24.7852,10.997908481675392,26.8229,18.009806073298428,34.1629,8.212714126807564,25.74,8.231634620477779,72.6,52.74450625869263,1387926,0
95,31.61394785340314,78.218,0.38478218029350103,6.7556,2.73605612565445,15.3017,8.82420052356021,32.2222,18.53874521829522,100.0,9.662424916573972,31.9,9.703294215795328,71.5,51.4105702364395,1228618,0
971,23.859341483803554,144.9801,0.4741471698113207,11.5984,3.3040905956112856,21.5054,15.531770619097587,100.0,18.375662407602956,21.875,8.762035595105672,43.75,8.798583108215478,39.1,25.76703755215577,413850,1
972,25.162427853403145,212.4559,0.5772339622641509,28.1856,5.076079162303665,48.6601,19.230010261780105,50.0,16.569520314136128,100.0,8.96845982142857,55.56,8.941250648869113,41.5,27.459388038942976,376078,1
973,15.485396649214659,66.7375,0.47958700209643607,10.3202,3.231504502617801,13.0723,18.74662265957447,60.0,4.9734959617428265,6.8879,9.73174638487208,43.75,9.677053180782881,30.7,20.72420027816412,290691,1
974,16.95030628272251,71.1296,0.284467714884696,11.2131,2.418984188481675,10.7601,16.578378638743455,100.0,8.75696875,11.681,10.12249165739711,53.57,10.043565946289528,65.4,44.68247566063978,882895,1
976,5.641216718913271,54.2853,0.22984958071278827,13.1139,1.0401041884816753,10.0641,16.29913352534562,100.0,8.63974335812965,50.0,6.271761426978819,48.0,6.2773674188251505,46.7,30.229485396383865,327897,1
